embedding,input_mode,N,K,MRR,nDCG,Precision,Recall,mAP
minilm_chunk,raw,7,10,0.19047619047619047,0.2579472594707058,0.05714285714285715,0.19047619047619047,0.08253968253968254
minilm_chunk,summary,7,10,0.0,0.0,0.0,0.0,0.0
minilm_chunk,keywords,7,10,0.19047619047619047,0.2579472594707058,0.05714285714285715,0.19047619047619047,0.08253968253968254
minilm_chunk,combo,7,10,0.0,0.0,0.0,0.0,0.0
minilm_concat,raw,7,10,0.39285714285714285,0.4373723302349787,0.05714285714285715,0.19047619047619047,0.13095238095238096
minilm_concat,summary,7,10,0.0,0.0,0.0,0.0,0.0
minilm_concat,keywords,7,10,0.35714285714285715,0.3758471076530654,0.042857142857142864,0.14285714285714285,0.11904761904761904
minilm_concat,combo,7,10,0.0,0.0,0.0,0.0,0.0
minilm_fused10604,raw,7,10,0.11904761904761904,0.16057864571483396,0.042857142857142864,0.14285714285714285,0.05873015873015873
minilm_fused10604,summary,7,10,0.0,0.0,0.0,0.0,0.0
minilm_fused10604,keywords,7,10,0.11904761904761904,0.16057864571483396,0.042857142857142864,0.14285714285714285,0.05873015873015873
minilm_fused10604,combo,7,10,0.0,0.0,0.0,0.0,0.0
